species,growth,protein
Oreochromis niloticus,-1.2,0
Oreochromis niloticus,0.8,50
Oreochromis niloticus,2.1,100
Oreochromis niloticus,3,150
Oreochromis niloticus,4.2,200
Oreochromis niloticus,4.6,250
Oreochromis niloticus,4.8,300
Oreochromis niloticus,5.4,350
Oreochromis niloticus,5.4,400
Oreochromis niloticus,5.5,450
Salmo salar,-14.4,0
Salmo salar,-8.1,50
Salmo salar,-3.3,100
Salmo salar,0.2,150
Salmo salar,7,200
Salmo salar,9,250
Salmo salar,14,300
Salmo salar,17,350
Salmo salar,19,400
Salmo salar,19,450
Oncorhynchus mykiss,-3,0
Oncorhynchus mykiss,0.1,50
Oncorhynchus mykiss,3,100
Oncorhynchus mykiss,6,150
Oncorhynchus mykiss,8,200
Oncorhynchus mykiss,11,250
Oncorhynchus mykiss,12,300
Oncorhynchus mykiss,15,350
Oncorhynchus mykiss,19,400
Oncorhynchus mykiss,17,450
